simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
409,onc_0409,2223,1369,1274,unheated
410,onc_0410,2523,1325,841,heated
411,onc_0411,2919,1155,927.5,heated
412,onc_0412,2170,1437,1117,heated
413,onc_0413,2463,1278,1179,unheated
414,onc_0414,3846,1010,721.5,heated
415,onc_0415,2276,1316,1312,unheated
416,onc_0416,2592,1216,1134,unheated
417,onc_0417,3967,960,620.5,heated
418,onc_0418,2215,1441,843,heated
419,onc_0419,3001,1169,717,heated
420,onc_0420,2221,1440,915,heated
421,onc_0421,2471,1371,1004,heated
422,onc_0422,3817,991.5,632.5,heated
423,onc_0423,2500,1349,1069,heated
424,onc_0424,4509,893,566.5,heated
425,onc_0425,2184,1428,1002,heated
426,onc_0426,4488,914,820,unheated
427,onc_0427,3536,1023.5,990,unheated
428,onc_0428,3424,1068,677.5,heated
429,onc_0429,2316,1396,854.5,heated
430,onc_0430,2504,1346,887,heated
431,onc_0431,3452,1086,712.5,heated
432,onc_0432,2490,1244,1183,unheated
433,onc_0433,2981,1185,730,heated
434,onc_0434,3924,984.5,628,heated
435,onc_0435,2685,1254,763,heated
436,onc_0436,3871,968.5,640,heated
437,onc_0437,4639,892,629,heated
438,onc_0438,2296,1412,805,heated
439,onc_0439,2263,1434,874,heated
440,onc_0440,2218,1483,851.5,heated
441,onc_0441,3995,1016,688,heated
442,onc_0442,2170,1478,965.5,heated
443,onc_0443,3691,1033,734.5,heated
444,onc_0444,2137,1414,1167,heated
445,onc_0445,2882,1236,800.5,heated
446,onc_0446,3614,1064,651,heated
447,onc_0447,2364,1358,784,heated
448,onc_0448,3907,994.5,671.5,heated
449,onc_0449,3270,1127,805,heated
450,onc_0450,2844,1228,776,heated
451,onc_0451,3885,960.5,636.5,heated
452,onc_0452,2160,1452,812,heated
453,onc_0453,2792,1221,723,heated
454,onc_0454,3475,1029,773.5,heated
455,onc_0455,3147,1159,814,heated
456,onc_0456,3793,1021.5,622.5,heated
457,onc_0457,2600,1246,715,heated
458,onc_0458,3432,1085,716.5,heated
459,onc_0459,2955,1217,814,heated
460,onc_0460,2367,1326,1159,heated
461,onc_0461,2311,1342,1152,heated
462,onc_0462,4325,913.5,905.5,unheated
463,onc_0463,2125,1474,882,heated
464,onc_0464,2139,1465,831.5,heated
465,onc_0465,2551,1314,811.5,heated
466,onc_0466,3425,1087,662,heated
467,onc_0467,4203,974,639,heated
468,onc_0468,2570,1286,769,heated
469,onc_0469,4625,876,697,heated
470,onc_0470,3449,1069,671.5,heated
471,onc_0471,4110,947,606,heated
472,onc_0472,3812,975,850,heated
473,onc_0473,2349,1386,864,heated
474,onc_0474,2227,1374,1213,heated
475,onc_0475,2703,1245,750,heated
476,onc_0476,3575,1058,636,heated
477,onc_0477,4349,903.5,859,unheated
